id	sentence	cluster	count
21	In the race for Florida's Senate seat, unofficial results revealed a gap of just 0.15% between the votes for incumbent Democrat Bill Nelson and Mr Scott.	3	3
26	In the Senate race, the unofficial count had Republican Scott leading incumbent Democrat Bill Nelson by about 12,600 votes among roughly 8.2 million votes cast in the Nov 6 election.	3	3
36	After the cut-off, the Senate race between outgoing Republican governor Rick Scott and incumbent Democrat Bill Nelson was super close: Scott's lead stood at just 12,562 votes out of nearly 8.2 million cast, a margin of just 0.15 percent.	3	3
